Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Lifetime @ Temp.,Termination,Mounting Type,Package / Case,Lead Spacing,Size / Dimension,Height - Seated (Max),Operating Temperature
http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=PAS1235LA3R0206&fileName=PAS1235LA3R0206_SS&mode=specSheetDownload,//media.digikey.com/photos/Taiyo%20Yuden%20Photos/PAS1220LA2R3106.JPG,587-2023-ND,PAS1235LA3R0206,Taiyo Yuden,CAP 20F 20% 3V THROUGH HOLE,985,0,7.88,0,1,Bulk,LA,Active,20F,±20%,3V,100 mOhm,-,PC Pins,Through Hole,"Radial, Can","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","1.457"" (37.00mm)",-25°C ~ 60°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-4402-phb-series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHB-5R0V155-R.JPG,283-3523-ND,PHB-5R0V155-R,Eaton,CAP 1.5F -10% +30% 5V T/H,1161,0,8.44,0,1,Bulk,PowerStor PHB,Active,1.5F,"-10%, +30%",5V,330 mOhm @ 100Hz,1000 Hrs @ 70°C,PC Pins,Through Hole,"Radial, Can","0.465"" (11.80mm)","0.681"" L x 0.354"" W (17.30mm x 9.00mm)","0.866"" (22.00mm)",-25°C ~ 70°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-4403-phv-series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHV-5R4V155-R.JPG,283-4205-ND,PHV-5R4V155-R,Eaton,CAP 1.5F -10% +30% 5.4V T/H,1147,0,10,0,1,Bulk,PowerStor PHV,Active,1.5F,"-10%, +30%",5.4V,160 mOhm @ 100Hz,1000 Hrs @ 65°C,PC Pins,Through Hole,"Radial, Can","0.465"" (11.80mm)","0.866"" L x 0.681"" W (22.00mm x 17.30mm)","0.354"" (9.00mm)",-40°C ~ 65°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4393_PB_Series.pdf,"//media.digikey.com/photos/Cooper%20Bussmann%20Photos/PB%20SERIES%2022.0H,16.8L.jpg",283-2789-ND,PB-5R0V105-R,Eaton,CAP 1F -20% +80% 5V T/H,2344,0,10.01,0,1,Bulk,PowerStor PB,Active,1F,"-20%, +80%",5V,500 mOhm @ 100Hz,1000 Hrs @ 70°C,PC Pins,Through Hole,"Radial, Can","0.465"" (11.80mm)","0.681"" L x 0.354"" W (17.30mm x 9.00mm)","0.866"" (22.00mm)",-25°C ~ 70°C
http://datasheets.avx.com/BestCap.pdf,//media.digikey.com/photos/AVX%20Photos/BZ055A333ZSB.jpg,478-3645-ND,BZ055B153ZSB,AVX Corporation,CAP 15MF -20% +80% 5.5V SMD,1500,7200,10.13,0,1,Tray,BestCap® BZ,Active,15mF,"-20%, +80%",5.5V,250 mOhm,1000 Hrs @ 70°C,SMD (SMT) Tabs,Surface Mount,"BZ05, 3 Lead",-,"0.787"" L x 0.591"" W (20.00mm x 15.00mm)","0.106"" (2.70mm)",-20°C ~ 70°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-4402-phb-series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHB-5R0V505-R.JPG,283-3520-ND,PHB-5R0V505-R,Eaton,CAP 5F -10% +30% 5V T/H,1595,0,10.3,0,1,Bulk,PowerStor PHB,Active,5F,"-10%, +30%",5V,130 mOhm @ 100Hz,1000 Hrs @ 70°C,PC Pins,Through Hole,"Radial, Can","0.209"" (5.30mm)","0.839"" L x 0.433"" W (21.30mm x 11.00mm)","1.280"" (32.50mm)",-25°C ~ 70°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-4403-phv-series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHV-5R4H155-R.JPG,283-4206-ND,PHV-5R4H155-R,Eaton,CAP 1.5F -10% +30% 5.4V T/H,1173,0,10.4,0,1,Bulk,PowerStor PHV,Active,1.5F,"-10%, +30%",5.4V,160 mOhm @ 100Hz,1000 Hrs @ 65°C,PC Pins,Through Hole,"Radial, Can, Horizontal","0.465"" (11.80mm)","0.866"" L x 0.681"" W (22.00mm x 17.30mm)","0.354"" (9.00mm)",-40°C ~ 65°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-10554-tv-supercapacitors.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/MFG_TV_Supercap_Hero.jpg,283-4671-ND,TV1625-3R0256-R,Eaton,"CAP, 3.0V, 25F",600,0,10.4,0,1,Bulk,TV,Active,25F,"-10%, +30%",3V,18 mOhm,1000 Hrs @ 85°C,PC Pins,Through Hole,"Radial, Can","0.295"" (7.50mm)","0.650"" Dia (16.50mm)","1.122"" (28.50mm)",-40°C ~ 85°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-4402-phb-series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHB-5R0H505-R.JPG,283-3524-ND,PHB-5R0H505-R,Eaton,CAP 5F -10% +30% 5V T/H,1934,0,10.5,0,1,Bulk,PowerStor PHB,Active,5F,"-10%, +30%",5V,130 mOhm @ 100Hz,1000 Hrs @ 70°C,PC Pins,Through Hole,"Radial, Can, Horizontal","0.209"" (5.30mm)","1.280"" L x 0.839"" W (32.50mm x 21.30mm)","0.433"" (11.00mm)",-25°C ~ 70°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-4424-xv-series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/XV3550-2R7307-R.JPG,283-4210-ND,XV3550-2R7307-R,Eaton,CAP 300F -5% +10% 2.7V T/H,2243,0,10.6,0,1,Bulk,PowerStor XV,Active,300F,"-5%, +10%",2.7V,4.5 mOhm,1500 Hrs @ 65°C,PC Pins,Through Hole,"Radial, Can - Snap-In","0.886"" (22.50mm)","1.378"" Dia (35.00mm)","2.047"" (52.00mm)",-40°C ~ 65°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4308_PM_Series.pdf,//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PM-5R0H105-R.JPG,283-4003-ND,PM-5R0H105-R,Eaton,CAP 1F -20% +80% 5V T/H,1174,0,11.03,0,1,Bulk,PowerStor PM,Active,1F,"-20%, +80%",5V,200 mOhm,1000 Hrs @ 60°C,PC Pins,Through Hole,"Radial, Can, Horizontal","0.465"" (11.80mm)","0.866"" L x 0.681"" W (22.00mm x 17.30mm)","0.354"" (9.00mm)",-40°C ~ 60°C
